"id","dhgeologyid","attributecolumn","attributevalue","modifieddate","modifiedby","mrtdetailid","id-2","collarid","fromdepth","todepth","units","accuracy","modifieddate-2","modifiedby-2","mrtfileid"
"86512994",11474263,"Mineralisation2","goe",NULL,NULL,511776,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512993",11474263,"Mineralisation1","kln",NULL,NULL,511775,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512992",11474263,"Grain","fg",NULL,NULL,511774,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512991",11474263,"Lithology1","Ssh",NULL,NULL,511772,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512990",11474263,"Regolith","Lk",NULL,NULL,511771,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"86512989",11474263,"Colour","dbr",NULL,NULL,511769,11474263,792900,"51","52",NULL,NULL,NULL,NULL,22458
"186375449",24742112,"Comments","UNCLEAR WHETHER SCH OR VQZ",NULL,NULL,1119799,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375448",24742112,"Vein 1%","10",NULL,NULL,1119784,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375447",24742112,"Vein Min1","QZ",NULL,NULL,1119783,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375446",24742112,"Hardness","M",NULL,NULL,1119781,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375445",24742112,"Weathering","E",NULL,NULL,1119780,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375444",24742112,"Grainsize","F",NULL,NULL,1119779,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375443",24742112,"Colour","2OR",NULL,NULL,1119778,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375442",24742112,"Lithology2","VQZ",NULL,NULL,1119774,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"186375441",24742112,"Lithology1","SUN ",NULL,NULL,1119772,24742112,1547563,"59","60",NULL,NULL,NULL,NULL,47515
"223139860",29938508,"Comments","silt coarser grained more felsic silt zone",NULL,NULL,1316921,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139859",29938508,"Vein1","QC",NULL,NULL,1316919,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139858",29938508,"Strength","M",NULL,NULL,1316918,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139857",29938508,"Samp_Qual","GS",NULL,NULL,1316916,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139856",29938508,"Structure","MSF",NULL,NULL,1316915,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139855",29938508,"Sulph1_per","0.5",NULL,NULL,1316910,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139854",29938508,"Sulph1","PY",NULL,NULL,1316909,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139853",29938508,"Mineralogy_2","GR",NULL,NULL,1316901,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139852",29938508,"Mineralogy_1","KA",NULL,NULL,1316900,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139851",29938508,"Text1","BG",NULL,NULL,1316898,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139850",29938508,"Col_1","GY",NULL,NULL,1316896,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139849",29938508,"Colour_Int","l",NULL,NULL,1316895,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139848",29938508,"Weathering_Profile","F",NULL,NULL,1316893,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139847",29938508,"Weathering_Oxide","F",NULL,NULL,1316892,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139846",29938508,"Lith3","-",NULL,NULL,1316891,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139845",29938508,"Lith2","-",NULL,NULL,1316890,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139844",29938508,"Lith1","ASHG",NULL,NULL,1316889,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223139843",29938508,"DataSet","SSTONE",NULL,NULL,1316885,29938508,1805586,"109.57","109.9",NULL,NULL,NULL,NULL,56116
"223156913",29939620,"Strength","EL",NULL,NULL,1316918,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156912",29939620,"WATER","DR",NULL,NULL,1316917,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156911",29939620,"Samp_Qual","GS",NULL,NULL,1316916,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156910",29939620,"Alt1","CY",NULL,NULL,1316905,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156909",29939620,"Mineralogy_3","GO",NULL,NULL,1316902,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156908",29939620,"Mineralogy_2","CB",NULL,NULL,1316901,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156907",29939620,"Mineralogy_1","CY",NULL,NULL,1316900,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156906",29939620,"Col_2","WH",NULL,NULL,1316897,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156905",29939620,"Col_1","YW",NULL,NULL,1316896,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156904",29939620,"Weathering_Profile","US",NULL,NULL,1316893,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156903",29939620,"Weathering_Oxide","EW",NULL,NULL,1316892,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156902",29939620,"Lith3","-",NULL,NULL,1316891,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156901",29939620,"Lith2","-",NULL,NULL,1316890,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
"223156900",29939620,"Lith1","AO",NULL,NULL,1316889,29939620,1805601,"42","43",NULL,NULL,NULL,NULL,56116
